,acc_train,acc_test,auc_test,epoch
0,54,53,0.5076185282607302,0
1,56,54,0.5000641560274588,1
2,61,57,0.5542759992301276,2
3,62,61,0.6005966510553666,3
4,63,63,0.6118399948675178,4
5,66,63,0.6155610444601269,5
6,67,63,0.6202604734714827,6
7,67,62,0.6350323987938667,7
8,69,63,0.6348078526977609,8
9,71,63,0.6368768845833066,9
10,69,63,0.6310868031051518,10
11,71,63,0.634695579649708,11
12,69,63,0.6299961506383526,12
13,70,62,0.6169885160710848,13
14,71,63,0.6322897286200038,14
15,70,63,0.6275902996086482,15
16,70,63,0.6345833066016553,16
17,69,63,0.625184448578944,17
18,71,63,0.6333803810868031,18
19,70,63,0.6299961506383526,19
20,70,62,0.6252967216269968,20
21,70,63,0.6287932251235003,21
22,71,63,0.633492654134856,22
23,70,63,0.6321774555719509,23
24,70,63,0.6286809520754474,24
25,69,62,0.6228908705972926,25
26,71,63,0.6263873740937961,26
27,71,63,0.6311990761532045,27
28,70,63,0.640485661127863,28
29,69,63,0.6287932251235003,29
